id,title,content.descriptiveNonRepeating.record_link,content.descriptiveNonRepeating.title.content,content.descriptiveNonRepeating.data_source,content.indexedStructured.date,content.indexedStructured.object_type,content.indexedStructured.name,content.indexedStructured.topic,content.indexedStructured.language,content.indexedStructured.place,content.freetext.date,content.indexedStructured.culture,content.indexedStructured.online_media_rights,content.indexedStructured.online_media_type,content.freetext.culture,content.freetext.publisher
ld1-1643414114157-1643414167031-1,Campylomormyrus tamandua,http://n2t.net/ark:/65665/3d205aa8c-c1e8-44f7-a8c1-ebd6bf6a969b,Campylomormyrus tamandua,NMNH - Vertebrate Zoology - Fishes Division,['1960s'],,"['Brichard, P.']","['Actinopterygii', 'Fishes']",,"['Africa', 'Democratic Republic of the Congo', 'Kinshasa Province']","[{'label': 'Collection Date', 'content': '1960'}]",,,,,"[{'label': 'Published Name', 'content': 'Campylomormyrus tamandua'}, {'label': 'Published Name', 'content': 'Gnathonemus tamandua'}]"
ld1-1643413286797-1643413321449-1,Pollimyrus adspersus,http://n2t.net/ark:/65665/3fa973248-3874-4c97-902d-306fe657c9af,Pollimyrus adspersus,NMNH - Vertebrate Zoology - Fishes Division,[],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Niger', 'Africa', 'Niamey Urban Community Region']","[{'label': 'Collection Date', 'content': '18 Jul 1980 to 21 Jul 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Pollimyrus adspersus'}]"
ld1-1643413286797-1643413321917-1,Petrocephalus bovei,http://n2t.net/ark:/65665/3e53d4a81-7b3e-48d3-a4c5-a459b0691086,Petrocephalus bovei,NMNH - Vertebrate Zoology - Fishes Division,[],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Niger', 'Africa', 'Niamey Urban Community Region']","[{'label': 'Collection Date', 'content': '18 Jul 1980 to 21 Jul 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Petrocephalus bovei'}]"
ld1-1643413286797-1643413322058-0,Brienomyrus niger,http://n2t.net/ark:/65665/3b57fdc8f-5449-4519-b989-15417c8de385,Brienomyrus niger,NMNH - Vertebrate Zoology - Fishes Division,['1980s'],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Africa', 'Nigeria']","[{'label': 'Collection Date', 'content': '1 May 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Brienomyrus niger'}]"
ld1-1643413286797-1643413321926-1,Brienomyrus niger,http://n2t.net/ark:/65665/373a7115a-ddbe-48ad-a0a1-1d38f76808cd,Brienomyrus niger,NMNH - Vertebrate Zoology - Fishes Division,['1980s'],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Sokoto State', 'Africa', 'Nigeria']","[{'label': 'Collection Date', 'content': '14 Oct 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Brienomyrus niger'}]"
ld1-1643413286797-1643413321930-0,Marcusenius,http://n2t.net/ark:/65665/33a59729e-56d0-430f-bf24-3ca672a1c092,Marcusenius,NMNH - Vertebrate Zoology - Fishes Division,[],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Niger', 'Africa', 'Niamey Urban Community Region']","[{'label': 'Collection Date', 'content': '18 Jul 1980 to 21 Jul 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Marcusenius'}]"
ld1-1643413286797-1643413321993-0,Brienomyrus niger,http://n2t.net/ark:/65665/3c98c62c5-1a63-44c4-ab7a-4b60f51735eb,Brienomyrus niger,NMNH - Vertebrate Zoology - Fishes Division,['1970s'],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Sokoto State', 'Africa', 'Nigeria']","[{'label': 'Collection Date', 'content': '12 Oct 1979'}]",,,,,"[{'label': 'Published Name', 'content': 'Brienomyrus niger'}]"
ld1-1643413286797-1643413322054-0,Mormyrops deliciosus,http://n2t.net/ark:/65665/3f134e16f-f5ff-4693-8488-fdee42f469ed,Mormyrops deliciosus,NMNH - Vertebrate Zoology - Fishes Division,[],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Niger', 'Africa', 'Niamey Urban Community Region']","[{'label': 'Collection Date', 'content': '18 Jul 1980 to 21 Jul 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Mormyrops deliciosus'}]"
ld1-1643413286797-1643413322056-0,Hippopotamyrus pictus,http://n2t.net/ark:/65665/385af22ef-6087-4b37-8b9c-36b929a36cdf,Hippopotamyrus pictus,NMNH - Vertebrate Zoology - Fishes Division,[],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Niger', 'Africa', 'Niamey Urban Community Region']","[{'label': 'Collection Date', 'content': '18 Jul 1980 to 21 Jul 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Hippopotamyrus pictus'}]"
ld1-1643413286797-1643413321987-0,Petrocephalus bovei,http://n2t.net/ark:/65665/30015cc04-3f53-4fff-bfb0-0c5799942599,Petrocephalus bovei,NMNH - Vertebrate Zoology - Fishes Division,['1980s'],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Niger', 'Africa', 'Niamey Urban Community Region']","[{'label': 'Collection Date', 'content': '12 May 1981'}]",,,,,"[{'label': 'Published Name', 'content': 'Petrocephalus bovei'}]"
